Event,Round,Match_no,Date,Venue,City,Team1,Team2,Winner
ICC Cricket World Cup,Group Stage,1,10/5/2023,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,England,New Zealand,New Zealand
ICC Cricket World Cup,Group Stage,2,10/6/2023,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Pakistan,Netherlands,Pakistan
ICC Cricket World Cup,Group Stage,3,10/7/2023,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,Afghanistan,Bangladesh,Bangladesh
ICC Cricket World Cup,Group Stage,4,10/7/2023,"Arun Jaitley Stadium, Delhi",Delhi,South Africa,Sri Lanka,South Africa
ICC Cricket World Cup,Group Stage,5,10/8/2023,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Australia,India,India
ICC Cricket World Cup,Group Stage,6,10/9/2023,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,New Zealand,Netherlands,New Zealand
ICC Cricket World Cup,Group Stage,7,10/10/2023,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,England,Bangladesh,England
ICC Cricket World Cup,Group Stage,8,10/10/2023,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Sri Lanka,Pakistan,Pakistan
ICC Cricket World Cup,Group Stage,9,10/11/2023,"Arun Jaitley Stadium, Delhi",Delhi,Afghanistan,India,India
ICC Cricket World Cup,Group Stage,10,10/12/2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,South Africa,Australia,South Africa
ICC Cricket World Cup,Group Stage,11,10/13/2023,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Bangladesh,New Zealand,New Zealand
ICC Cricket World Cup,Group Stage,12,10/14/2023,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Pakistan,India,India
ICC Cricket World Cup,Group Stage,13,10/15/2023,"Arun Jaitley Stadium, Delhi",Delhi,Afghanistan,England,Afghanistan
ICC Cricket World Cup,Group Stage,14,10/16/2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,Sri Lanka,Australia,Australia
