Event,Round,Match,Date,Venue,City,Team1,Team2,Winner
ICC Cricket World Cup,Group Stage,1,2023-10-05,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,England,New Zealand,New Zealand
ICC Cricket World Cup,Group Stage,2,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Pakistan,Netherlands,Pakistan
ICC Cricket World Cup,Group Stage,3,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,Afghanistan,Bangladesh,Bangladesh
ICC Cricket World Cup,Group Stage,4,2023-10-07,"Arun Jaitley Stadium, Delhi",Delhi,South Africa,Sri Lanka,South Africa
ICC Cricket World Cup,Group Stage,5,2023-10-08,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Australia,India,India
ICC Cricket World Cup,Group Stage,6,2023-10-09,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,New Zealand,Netherlands,New Zealand
ICC Cricket World Cup,Group Stage,7,2023-10-10,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,England,Bangladesh,England
ICC Cricket World Cup,Group Stage,8,2023-10-10,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Sri Lanka,Pakistan,Pakistan
ICC Cricket World Cup,Group Stage,9,2023-10-11,"Arun Jaitley Stadium, Delhi",Delhi,Afghanistan,India,India
ICC Cricket World Cup,Group Stage,10,2023-10-12,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,South Africa,Australia,South Africa
ICC Cricket World Cup,Group Stage,11,2023-10-13,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Bangladesh,New Zealand,New Zealand
ICC Cricket World Cup,Group Stage,12,2023-10-14,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Pakistan,India,India
ICC Cricket World Cup,Group Stage,13,2023-10-15,"Arun Jaitley Stadium, Delhi",Delhi,Afghanistan,England,Afghanistan
ICC Cricket World Cup,Group Stage,14,2023-10-16,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,Sri Lanka,Australia,Australia
ICC Cricket World Cup,Group Stage,15,2023-10-17,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,Netherlands,South Africa,Netherlands
ICC Cricket World Cup,Group Stage,16,2023-10-18,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,New Zealand,Afghanistan,New Zealand
ICC Cricket World Cup,Group Stage,17,2023-10-19,"Maharashtra Cricket Association Stadium, Pune",Pune,Bangladesh,India,India
ICC Cricket World Cup,Group Stage,18,2023-10-20,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Australia,Pakistan,Australia
ICC Cricket World Cup,Group Stage,19,2023-10-21,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,Netherlands,Sri Lanka,Sri Lanka
ICC Cricket World Cup,Group Stage,20,2023-10-21,"Wankhede Stadium, Mumbai",Mumbai,South Africa,England,South Africa
ICC Cricket World Cup,Group Stage,21,2023-10-22,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,New Zealand,India,India
ICC Cricket World Cup,Group Stage,22,2023-10-23,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Pakistan,Afghanistan,Afghanistan
ICC Cricket World Cup,Group Stage,23,2023-10-24,"Wankhede Stadium, Mumbai",Mumbai,South Africa,Bangladesh,South Africa
ICC Cricket World Cup,Group Stage,24,2023-10-25,"Arun Jaitley Stadium, Delhi",Delhi,Australia,Netherlands,Australia
ICC Cricket World Cup,Group Stage,25,2023-10-26,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,England,Sri Lanka,Sri Lanka
ICC Cricket World Cup,Group Stage,26,2023-10-27,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Pakistan,South Africa,South Africa
ICC Cricket World Cup,Group Stage,27,2023-10-28,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,Australia,New Zealand,Australia
ICC Cricket World Cup,Group Stage,28,2023-10-28,"Eden Gardens, Kolkata",Kolkata,Netherlands,Bangladesh,Netherlands
ICC Cricket World Cup,Group Stage,29,2023-10-29,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,England,India
ICC Cricket World Cup,Group Stage,30,2023-10-30,"Maharashtra Cricket Association Stadium, Pune",Pune,Sri Lanka,Afghanistan,Afghanistan
ICC Cricket World Cup,Group Stage,31,2023-10-31,"Eden Gardens, Kolkata",Kolkata,Bangladesh,Pakistan,Pakistan
ICC Cricket World Cup,Group Stage,32,2023-11-01,"Maharashtra Cricket Association Stadium, Pune",Pune,South Africa,New Zealand,South Africa
ICC Cricket World Cup,Group Stage,33,2023-11-02,"Wankhede Stadium, Mumbai",Mumbai,India,Sri Lanka,India
ICC Cricket World Cup,Group Stage,34,2023-11-03,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,Netherlands,Afghanistan,Afghanistan
ICC Cricket World Cup,Group Stage,35,2023-11-04,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,New Zealand,Pakistan,Pakistan
ICC Cricket World Cup,Group Stage,36,2023-11-04,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Australia,England,Australia
ICC Cricket World Cup,Group Stage,37,2023-11-05,"Eden Gardens, Kolkata",Kolkata,India,South Africa,India
ICC Cricket World Cup,Group Stage,38,2023-11-06,"Arun Jaitley Stadium, Delhi",Delhi,Sri Lanka,Bangladesh,Bangladesh
ICC Cricket World Cup,Group Stage,39,2023-11-07,"Wankhede Stadium, Mumbai",Mumbai,Afghanistan,Australia,Australia
ICC Cricket World Cup,Group Stage,40,2023-11-08,"Maharashtra Cricket Association Stadium, Pune",Pune,England,Netherlands,England
ICC Cricket World Cup,Group Stage,41,2023-11-09,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Sri Lanka,New Zealand,New Zealand
ICC Cricket World Cup,Group Stage,42,2023-11-10,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Afghanistan,South Africa,South Africa
ICC Cricket World Cup,Group Stage,43,2023-11-11,"Maharashtra Cricket Association Stadium, Pune",Pune,Bangladesh,Australia,Australia
ICC Cricket World Cup,Group Stage,44,2023-11-11,"Eden Gardens, Kolkata",Kolkata,England,Pakistan,England
ICC Cricket World Cup,Group Stage,45,2023-11-12,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,India,Netherlands,India
ICC Cricket World Cup,Semi Final,46,2023-11-15,"Wankhede Stadium, Mumbai",Mumbai,India,New Zealand,India
ICC Cricket World Cup,Semi Final,47,2023-11-16,"Eden Gardens, Kolkata",Kolkata,South Africa,Australia,Australia
ICC Cricket World Cup,Final,48,2023-11-19,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,India,Australia,Australia
